City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score,Pollution_Index_Adjusted,Safety_Score_Adjusted,Price_Score,Pollution_Score,Hospital_Score,School_Score,Metro_Score,Grocery_Score,Location_Score
Mumbai,Navi Mumbai Vashi,5506,54547,5.9,107,2.75,2.76,1.92,0.91,109,1,7.5,7.0,8.6,112,6.1000000000000005,16494,138,2.25,2.24,3.08,4.09,3328.549
Chennai,OMR,5532,39630,5.7,87,3.46,1.63,1.04,1.13,65,1,9.2,9.2,9.1,92,6.0,16468,158,1.54,3.37,3.96,3.87,3327.5860000000002
Bengaluru,Hebbal,5534,58201,5.8,80,3.06,1.15,1.79,0.5,82,1,8.4,9.2,8.2,88,6.3,16466,162,1.94,3.85,3.21,4.5,3327.55
Bengaluru,Yelahanka,5514,28646,6.1,100,1.99,3.21,2.84,0.65,64,1,6.4,8.6,5.8,108,6.6,16486,142,3.01,1.79,2.16,4.35,3327.0465
Delhi NCR,Ghaziabad,5515,53920,8.5,97,2.34,2.0,1.19,0.79,115,1,7.0,7.1,7.8,117,8.1,16485,133,2.66,3.0,3.81,4.21,3326.502
Hyderabad,Begumpet,5529,58890,7.9,96,1.66,3.21,2.26,0.93,117,1,8.5,8.7,8.2,106,8.0,16471,144,3.34,1.79,2.74,4.07,3325.9410000000003
Hyderabad,Banjara Hills,5506,21267,5.7,124,1.86,1.39,0.37,0.85,87,1,6.0,7.4,8.7,134,5.8,16494,116,3.1399999999999997,3.6100000000000003,4.63,4.15,3325.5045
Chennai,Adyar,5550,44738,6.1,73,1.31,1.54,1.22,0.52,65,1,8.3,7.6,6.9,78,6.3999999999999995,16450,172,3.69,3.46,3.7800000000000002,4.48,3325.4114999999997
Bengaluru,Hebbal,5511,20146,8.6,127,1.04,2.55,0.94,0.63,111,1,7.1,6.9,8.9,135,9.1,16489,115,3.96,2.45,4.0600000000000005,4.37,3325.2760000000003
Chennai,Tambaram,5548,29735,5.7,76,3.3,1.47,1.96,0.87,76,1,7.6,7.8,8.8,81,6.0,16452,169,1.7000000000000002,3.5300000000000002,3.04,4.13,3325.1600000000003
Pune,Hadapsar,5537,36979,6.8,85,1.01,1.72,0.5,0.91,98,1,7.1,8.5,6.5,100,7.3999999999999995,16463,150,3.99,3.2800000000000002,4.5,4.09,3324.8540000000003
Delhi NCR,Greater Noida,5501,19980,6.5,125,2.04,2.79,1.6,0.89,110,1,7.0,7.3,8.7,145,6.1,16499,105,2.96,2.21,3.4,4.11,3324.7270000000003
Delhi NCR,Greater Noida,5530,30981,7.4,95,2.82,1.37,1.07,0.61,91,1,7.6,7.0,8.5,115,7.0,16470,135,2.18,3.63,3.9299999999999997,4.39,3323.8945
Delhi NCR,Noida Sec 18,5551,45249,6.8,68,2.96,1.1,1.54,1.15,112,1,6.8,7.8,8.6,88,6.3999999999999995,16449,162,2.04,3.9,3.46,3.85,3323.4875000000006
Pune,Nigdi,5516,27190,8.7,125,1.04,3.03,1.7,0.7,63,1,6.7,9.1,6.4,140,9.299999999999999,16484,110,3.96,1.9700000000000002,3.3,4.3,3323.2045000000003
Bengaluru,HSR Layout,5558,42373,8.1,83,1.48,3.2,1.07,0.49,109,1,8.3,9.2,8.5,91,8.6,16442,159,3.52,1.7999999999999998,3.9299999999999997,4.51,3322.964
Mumbai,Andheri West,5540,64143,7.1,103,1.92,1.24,0.71,0.91,82,1,9.4,6.1,6.6,108,7.3,16460,142,3.08,3.76,4.29,4.09,3322.933
Pune,Pimple Saudagar,5531,41277,8.9,108,3.0,1.27,1.04,0.4,119,1,7.2,6.8,8.1,123,9.5,16469,127,2.0,3.73,3.96,4.6,3322.8935000000006
Chennai,Porur,5567,37189,6.1,67,2.11,2.64,2.86,0.98,87,1,8.3,8.8,7.7,72,6.3999999999999995,16433,178,2.89,2.36,2.14,4.02,3322.8115000000003
Bengaluru,Electronic City,5560,20215,6.8,75,1.4,2.95,2.19,0.29,65,1,7.5,8.5,6.8,83,7.3,16440,167,3.6,2.05,2.81,4.71,3322.5505
Hyderabad,HITEC City,5565,36603,7.7,65,3.28,2.05,2.07,1.12,106,1,7.2,8.5,6.8,75,7.8,16435,175,1.7200000000000002,2.95,2.93,3.88,3322.547
Chennai,Sholinganallur,5538,40479,9.1,117,1.03,2.44,1.88,0.69,98,1,7.5,9.4,7.3,122,9.4,16462,128,3.9699999999999998,2.56,3.12,4.3100000000000005,3322.0940000000005
Hyderabad,Gachibowli,5500,34550,8.2,171,1.24,2.26,1.53,0.61,90,1,8.2,9.4,9.3,181,8.299999999999999,16500,69,3.76,2.74,3.4699999999999998,4.39,3321.304
Bengaluru,Yelahanka,5552,43874,8.7,108,1.01,1.33,0.52,0.73,108,1,7.6,9.0,7.0,116,9.2,16448,134,3.99,3.67,4.48,4.27,3320.3615000000004
Pune,Wakad,5518,22422,6.0,140,2.15,2.88,1.61,0.52,67,1,9.4,7.9,7.1,155,6.6,16482,95,2.85,2.12,3.3899999999999997,4.48,3320.326
Bengaluru,Electronic City,5503,59473,5.5,167,2.41,2.65,0.91,0.29,93,1,9.1,8.5,6.8,175,6.0,16497,75,2.59,2.35,4.09,4.71,3320.311
Chennai,Porur,5582,60271,9.5,71,2.68,2.08,0.46,0.81,111,1,8.8,7.8,7.5,76,9.8,16418,174,2.32,2.92,4.54,4.1899999999999995,3320.2705000000005
Pune,Hadapsar,5507,48738,8.4,158,1.64,1.4,2.9,0.64,71,1,7.7,7.9,7.4,173,9.0,16493,77,3.3600000000000003,3.6,2.1,4.36,3320.1630000000005
Mumbai,Bandra East,5563,26556,6.6,91,2.13,1.64,1.94,0.38,108,1,9.3,6.7,7.4,96,6.8,16437,154,2.87,3.3600000000000003,3.06,4.62,3320.1365
Pune,Viman Nagar,5582,43386,5.9,63,1.23,1.49,1.96,0.63,118,1,7.9,9.3,8.0,78,6.5,16418,172,3.77,3.51,3.04,4.37,3319.528500000001
Delhi NCR,Rohini Sec 15,5514,26841,8.2,148,1.73,1.69,2.47,0.45,114,1,7.5,8.1,8.3,168,7.799999999999999,16486,82,3.27,3.31,2.53,4.55,3319.474
Delhi NCR,Gurgaon DLF Phase 3,5569,26179,6.6,67,1.63,3.37,2.63,0.63,101,1,6.2,6.8,8.5,87,6.199999999999999,16431,163,3.37,1.63,2.37,4.37,3319.3360000000002
Mumbai,Kandivali West,5529,35104,9.1,142,2.49,2.75,2.16,0.74,65,1,8.5,7.8,5.9,147,9.299999999999999,16471,103,2.51,2.25,2.84,4.26,3319.3040000000005
Bengaluru,Electronic City,5546,55319,5.9,115,1.56,2.44,1.36,0.87,88,1,6.0,7.1,9.2,123,6.4,16454,127,3.44,2.56,3.6399999999999997,4.13,3319.0905000000002
Bengaluru,Whitefield,5552,43664,6.2,109,1.46,3.1,1.18,0.88,89,1,6.7,9.1,7.6,117,6.7,16448,133,3.54,1.9,3.8200000000000003,4.12,3319.0820000000003
Pune,Aundh,5506,53114,7.7,165,1.19,3.3,2.26,1.01,104,1,8.0,6.5,8.6,180,8.3,16494,70,3.81,1.7000000000000002,2.74,3.99,3318.986
Delhi NCR,Noida Sec 62,5560,63752,9.2,92,1.13,1.64,0.71,0.76,115,1,7.1,7.5,8.1,112,8.799999999999999,16440,138,3.87,3.3600000000000003,4.29,4.24,3318.9390000000003
Bengaluru,Whitefield,5564,54418,9.1,101,1.3,2.55,1.53,1.12,110,1,7.1,6.8,9.5,109,9.6,16436,141,3.7,2.45,3.4699999999999998,3.88,3318.6250000000005
Chennai,OMR,5583,60131,8.9,83,1.14,2.21,1.39,0.75,89,1,9.4,8.3,8.0,88,9.200000000000001,16417,162,3.8600000000000003,2.79,3.6100000000000003,4.25,3318.6015
Mumbai,Borivali West,5569,24251,6.1,96,1.67,1.31,1.33,1.03,101,1,8.0,6.2,9.2,101,6.3,16431,149,3.33,3.69,3.67,3.9699999999999998,3318.1740000000004
Hyderabad,Manikonda,5591,43277,9.4,66,2.74,2.94,0.99,1.06,110,1,6.9,9.0,8.3,76,9.5,16409,174,2.26,2.06,4.01,3.94,3318.1655
Bengaluru,Indiranagar,5523,56889,5.7,154,2.44,3.37,0.33,0.41,99,1,7.3,7.7,8.8,162,6.2,16477,88,2.56,1.63,4.67,4.59,3318.1175
Pune,Kothrud,5575,58413,7.6,79,2.49,3.17,0.49,1.18,115,1,7.0,6.9,8.1,94,8.2,16425,156,2.51,1.83,4.51,3.8200000000000003,3317.8505
Delhi NCR,Rohini Sec 15,5582,32650,6.5,67,1.08,1.02,1.28,0.7,107,1,9.2,6.2,6.2,87,6.1,16418,163,3.92,3.98,3.7199999999999998,4.3,3317.3630000000003
Bengaluru,Electronic City,5578,23652,6.3,87,1.68,1.52,0.84,0.88,69,1,7.1,8.4,6.9,95,6.8,16422,155,3.3200000000000003,3.48,4.16,4.12,3317.212
Mumbai,Powai,5586,43618,7.9,80,1.26,2.74,1.13,0.89,108,1,6.2,9.0,6.4,85,8.1,16414,165,3.74,2.26,3.87,4.11,3317.0720000000006
Pune,Baner,5517,31052,7.1,163,1.21,2.47,1.98,0.9,72,1,9.2,7.2,6.4,178,7.699999999999999,16483,72,3.79,2.53,3.02,4.1,3317.041
Hyderabad,Begumpet,5566,63084,5.5,94,3.11,3.08,0.6,0.3,107,1,6.3,6.8,6.9,104,5.6,16434,146,1.8900000000000001,1.92,4.4,4.7,3317.0365
Hyderabad,Banjara Hills,5568,52590,5.9,100,1.74,2.43,0.48,1.08,74,1,8.4,8.3,6.7,110,6.0,16432,140,3.26,2.57,4.52,3.92,3316.8905
Pune,Wakad,5506,37060,5.6,179,1.16,2.19,1.66,1.12,83,1,7.3,7.6,7.3,194,6.199999999999999,16494,56,3.84,2.81,3.34,3.88,3316.3805
Pune,Kothrud,5596,53476,8.4,68,1.3,2.34,2.12,0.62,77,1,8.9,8.1,7.3,83,9.0,16404,167,3.7,2.66,2.88,4.38,3316.2180000000003
Chennai,T Nagar,5567,23950,8.9,111,2.55,3.07,2.1,0.33,80,1,6.7,6.9,7.8,116,9.200000000000001,16433,134,2.45,1.9300000000000002,2.9,4.67,3316.1425000000004
Hyderabad,Secunderabad,5545,51480,8.2,142,1.61,1.24,0.94,0.84,82,1,8.6,8.2,7.4,152,8.299999999999999,16455,98,3.3899999999999997,3.76,4.0600000000000005,4.16,3316.1305
Mumbai,Malad West,5535,36035,8.2,161,3.24,1.98,1.57,0.22,109,1,8.9,8.6,7.9,166,8.399999999999999,16465,84,1.7599999999999998,3.02,3.4299999999999997,4.78,3315.9984999999997
Delhi NCR,Noida Sec 62,5536,64147,6.2,138,2.44,3.12,2.74,0.65,89,1,8.3,7.3,8.5,158,5.8,16464,92,2.56,1.88,2.26,4.35,3315.7325
Chennai,OMR,5536,51749,9.4,161,1.49,2.32,2.45,1.01,101,1,7.9,6.5,9.3,166,9.700000000000001,16464,84,3.51,2.68,2.55,3.99,3315.6595000000007
Delhi NCR,Ghaziabad,5587,38835,5.9,76,1.56,2.15,1.67,0.62,81,1,6.1,8.4,6.9,96,5.5,16413,154,3.44,2.85,3.33,4.38,3314.525
Hyderabad,Secunderabad,5606,51162,6.8,67,1.38,2.09,0.42,0.88,61,1,6.5,9.0,7.0,77,6.8999999999999995,16394,173,3.62,2.91,4.58,4.12,3314.3845000000006
Bengaluru,Whitefield,5560,37019,6.8,130,1.82,2.24,0.41,0.24,95,1,6.9,7.0,7.9,138,7.3,16440,112,3.1799999999999997,2.76,4.59,4.76,3314.3685
Bengaluru,Whitefield,5510,56546,5.7,193,2.95,3.07,2.94,1.12,80,1,9.3,8.0,5.9,201,6.2,16490,49,2.05,1.9300000000000002,2.06,3.88,3314.188
Chennai,Guindy,5519,45190,7.4,189,3.36,2.26,0.92,0.36,112,1,7.7,8.2,6.8,194,7.7,16481,56,1.6400000000000001,2.74,4.08,4.64,3314.1650000000004
Bengaluru,Rajajinagar,5571,19872,6.3,120,2.83,3.0,1.26,0.43,114,1,9.1,7.3,8.8,128,6.8,16429,122,2.17,2.0,3.74,4.57,3313.972
Delhi NCR,Noida Sec 62,5552,60028,7.2,126,2.12,2.13,2.87,0.57,90,1,6.4,7.6,6.6,146,6.8,16448,104,2.88,2.87,2.13,4.43,3313.8965000000007
Delhi NCR,Noida Sec 18,5516,21290,9.2,185,1.22,3.01,1.49,0.34,77,1,6.1,8.4,9.1,205,8.799999999999999,16484,45,3.7800000000000002,1.9900000000000002,3.51,4.66,3313.741
Delhi NCR,Greater Noida,5583,34469,8.1,90,2.03,2.12,0.91,1.05,113,1,6.5,6.6,7.6,110,7.699999999999999,16417,140,2.97,2.88,4.09,3.95,3313.5835000000006
Mumbai,Andheri East,5567,47964,8.3,128,2.71,2.15,2.25,0.22,110,1,9.0,6.7,5.7,133,8.5,16433,117,2.29,2.85,2.75,4.78,3313.5255000000006
Pune,Kothrud,5590,19479,6.3,82,2.81,2.71,1.97,0.82,98,1,7.0,6.1,6.9,97,6.8999999999999995,16410,153,2.19,2.29,3.0300000000000002,4.18,3313.4285
Bengaluru,BTM Layout,5506,28517,6.0,212,2.31,3.25,0.57,0.24,89,1,8.4,7.9,8.5,220,6.5,16494,30,2.69,1.75,4.43,4.76,3313.1695
Pune,Kharadi,5602,62330,7.2,74,2.12,2.3,2.31,0.21,65,1,6.9,8.7,5.6,89,7.8,16398,161,2.88,2.7,2.69,4.79,3312.9590000000003
Bengaluru,JP Nagar,5523,33476,5.8,193,3.31,1.74,0.71,1.07,100,1,9.4,8.3,8.3,201,6.3,16477,49,1.69,3.26,4.29,3.9299999999999997,3312.8005000000003
Hyderabad,Manikonda,5516,49035,5.6,192,3.08,1.79,1.82,0.76,66,1,6.9,6.5,6.5,202,5.699999999999999,16484,48,1.92,3.21,3.1799999999999997,4.24,3312.2825000000003
Delhi NCR,Gurgaon DLF Phase 3,5603,25706,6.5,73,2.79,1.16,1.87,0.23,71,1,8.1,8.0,5.9,93,6.1,16397,157,2.21,3.84,3.13,4.77,3312.0675
Bengaluru,Marathahalli,5550,38175,6.0,158,2.5,1.83,2.37,0.24,73,1,8.7,8.6,6.1,166,6.5,16450,84,2.5,3.17,2.63,4.76,3312.0339999999997
Mumbai,Navi Mumbai Vashi,5549,41196,8.0,165,2.4,2.33,0.4,1.04,95,1,7.7,9.0,6.0,170,8.2,16451,80,2.6,2.67,4.6,3.96,3311.999500000001
Chennai,Adyar,5567,37704,8.0,141,1.57,2.83,1.92,0.41,90,1,8.0,7.6,6.9,146,8.3,16433,104,3.4299999999999997,2.17,3.08,4.59,3311.8905000000004
Delhi NCR,Noida Sec 18,5553,56766,5.9,138,1.38,1.89,0.75,0.99,88,1,6.6,6.2,7.0,158,5.5,16447,92,3.62,3.1100000000000003,4.25,4.01,3311.7735000000002
Pune,Wakad,5521,37996,8.1,198,3.14,1.44,1.82,0.78,102,1,7.9,9.4,7.8,213,8.7,16479,37,1.8599999999999999,3.56,3.1799999999999997,4.22,3311.723
Delhi NCR,Dwarka Sec 12,5545,44372,7.6,158,1.7,2.16,2.03,0.51,82,1,9.1,9.3,5.7,178,7.199999999999999,16455,72,3.3,2.84,2.97,4.49,3311.665
Delhi NCR,Gurgaon DLF Phase 3,5517,31092,7.7,196,3.16,2.53,1.6,1.05,102,1,9.0,8.5,7.3,216,7.3,16483,34,1.8399999999999999,2.47,3.4,3.95,3311.474
Pune,Pimple Saudagar,5535,42534,9.5,182,3.3,3.01,0.47,0.36,117,1,8.1,8.3,7.5,197,10.0,16465,53,1.7000000000000002,1.9900000000000002,4.53,4.64,3311.354
Delhi NCR,Noida Sec 62,5607,40707,6.6,77,1.29,2.71,1.89,1.06,101,1,9.1,7.2,8.8,97,6.199999999999999,16393,153,3.71,2.29,3.1100000000000003,3.94,3311.3325000000004
Pune,Hinjewadi,5513,62488,8.9,214,1.58,1.04,1.1,0.92,108,1,6.8,8.3,8.9,229,9.5,16487,21,3.42,3.96,3.9,4.08,3311.2290000000003
Mumbai,Andheri East,5587,21312,7.1,117,3.03,1.84,1.12,1.11,79,1,8.0,7.4,7.0,122,7.3,16413,128,1.9700000000000002,3.16,3.88,3.8899999999999997,3311.1600000000003
Chennai,Porur,5606,46773,8.7,99,3.05,1.95,1.38,0.82,104,1,9.4,9.0,6.0,104,9.0,16394,146,1.9500000000000002,3.05,3.62,4.18,3310.9700000000003
Bengaluru,HSR Layout,5592,18051,9.1,116,3.2,2.21,1.76,1.12,64,1,7.1,6.7,9.3,124,9.6,16408,126,1.7999999999999998,2.79,3.24,3.88,3310.4315000000006
Bengaluru,Hebbal,5529,35772,6.6,198,1.81,3.46,1.75,0.26,64,1,7.7,7.4,8.3,206,7.1,16471,44,3.19,1.54,3.25,4.74,3310.333
Bengaluru,JP Nagar,5604,18395,7.3,101,2.95,2.8,1.64,0.24,86,1,8.2,8.9,6.9,109,7.8,16396,141,2.05,2.2,3.3600000000000003,4.76,3310.1555000000003
Pune,Pimple Saudagar,5579,32525,6.0,123,2.79,2.92,1.52,0.59,61,1,7.6,9.3,5.6,138,6.6,16421,112,2.21,2.08,3.48,4.41,3310.1020000000003
Delhi NCR,Ghaziabad,5552,63409,6.1,155,2.46,3.32,1.0,0.85,114,1,9.4,8.0,6.4,175,5.699999999999999,16448,75,2.54,1.6800000000000002,4.0,4.15,3310.0805000000005
Mumbai,Kandivali West,5590,60967,5.8,124,1.09,1.64,0.9,0.21,77,1,6.7,8.8,8.5,129,6.0,16410,121,3.91,3.3600000000000003,4.1,4.79,3310.074
Delhi NCR,Rohini Sec 15,5559,56199,8.1,148,2.16,2.77,1.87,0.69,106,1,6.9,6.1,7.5,168,7.699999999999999,16441,82,2.84,2.23,3.13,4.3100000000000005,3309.4265
Pune,Wakad,5628,41160,7.4,65,2.11,1.42,2.54,0.35,98,1,7.1,9.2,5.6,80,8.0,16372,170,2.89,3.58,2.46,4.65,3309.412
Hyderabad,Kukatpally,5564,26287,5.7,152,2.78,1.65,1.56,0.76,108,1,6.1,8.1,7.7,162,5.8,16436,88,2.22,3.35,3.44,4.24,3309.3125000000005
Mumbai,Borivali West,5585,53615,5.6,130,3.38,2.52,1.83,0.67,69,1,7.5,7.4,7.9,135,5.8,16415,115,1.62,2.48,3.17,4.33,3309.1399999999994
Chennai,Porur,5565,20765,7.1,164,2.17,2.5,2.2,1.15,115,1,8.3,7.7,7.6,169,7.3999999999999995,16435,81,2.83,2.5,2.8,3.85,3308.697
Bengaluru,Indiranagar,5527,63665,6.7,210,2.41,3.41,0.39,1.12,109,1,9.4,6.8,6.0,218,7.2,16473,32,2.59,1.5899999999999999,4.61,3.88,3308.6505000000006
Pune,Aundh,5562,52331,7.4,156,3.45,1.84,2.59,1.07,101,1,6.9,7.5,7.3,171,8.0,16438,79,1.5499999999999998,3.16,2.41,3.9299999999999997,3308.5325000000003
Pune,Viman Nagar,5571,57137,5.7,147,2.99,2.48,1.11,1.07,102,1,8.7,6.3,9.1,162,6.3,16429,88,2.01,2.52,3.8899999999999997,3.9299999999999997,3308.4525000000003
Delhi NCR,Rohini Sec 15,5624,28722,7.3,79,2.11,1.88,1.02,0.53,66,1,9.4,9.0,7.5,99,6.8999999999999995,16376,151,2.89,3.12,3.98,4.47,3308.219
Bengaluru,Marathahalli,5647,46196,7.8,60,1.67,1.32,1.73,0.55,66,1,7.3,9.3,6.8,68,8.3,16353,182,3.33,3.6799999999999997,3.27,4.45,3308.0345
Delhi NCR,Gurgaon DLF Phase 3,5522,62069,8.5,213,2.19,3.04,2.96,0.76,116,1,7.6,8.6,8.3,233,8.1,16478,17,2.81,1.96,2.04,4.24,3307.9575
Chennai,Sholinganallur,5591,54200,6.3,140,1.53,2.54,1.51,0.36,62,1,8.9,9.4,8.2,145,6.6,16409,105,3.4699999999999998,2.46,3.49,4.64,3307.934
Chennai,Porur,5571,64818,6.9,163,3.18,1.64,0.37,0.68,105,1,7.9,6.7,8.1,168,7.2,16429,82,1.8199999999999998,3.3600000000000003,4.63,4.32,3307.6945
Hyderabad,Manikonda,5546,34043,6.5,192,1.79,3.23,1.17,0.84,90,1,8.4,8.8,7.1,202,6.6,16454,48,3.21,1.77,3.83,4.16,3307.6704999999997
Chennai,Sholinganallur,5552,34711,7.8,186,2.12,2.41,2.91,1.02,61,1,8.1,6.2,7.3,191,8.1,16448,59,2.88,2.59,2.09,3.98,3307.6060000000007
Mumbai,Thane West,5590,56585,9.0,142,1.53,1.33,0.85,1.13,84,1,7.6,6.1,7.9,147,9.2,16410,103,3.4699999999999998,3.67,4.15,3.87,3307.424
Delhi NCR,Faridabad,5564,24864,8.5,168,1.36,3.27,0.56,0.39,118,1,9.4,8.7,8.3,188,8.1,16436,62,3.6399999999999997,1.73,4.4399999999999995,4.61,3307.288
Hyderabad,HITEC City,5648,33315,6.7,63,2.75,1.07,0.98,1.1,80,1,9.4,8.7,7.5,73,6.8,16352,177,2.25,3.9299999999999997,4.02,3.9,3307.165
Hyderabad,Secunderabad,5589,44243,6.9,140,2.69,1.92,2.89,0.51,65,1,8.1,8.0,9.0,150,7.0,16411,100,2.31,3.08,2.11,4.49,3307.0235000000002
Hyderabad,HITEC City,5642,38913,9.2,72,2.27,1.24,1.93,1.18,72,1,9.0,6.7,7.6,82,9.299999999999999,16358,168,2.73,3.76,3.0700000000000003,3.8200000000000003,3306.9570000000003
Delhi NCR,Ghaziabad,5580,37086,6.0,142,1.1,2.44,2.5,0.68,61,1,9.1,9.4,6.7,162,5.6,16420,88,3.9,2.56,2.5,4.32,3306.8920000000003
Mumbai,Kandivali West,5559,34825,7.8,183,3.04,1.26,2.04,0.84,89,1,6.9,7.3,6.6,188,8.0,16441,62,1.96,3.74,2.96,4.16,3306.623
Chennai,Tambaram,5573,53121,7.3,159,2.54,3.13,2.86,0.92,103,1,6.1,6.1,7.0,164,7.6,16427,86,2.46,1.87,2.14,4.08,3306.5825000000004
Bengaluru,HSR Layout,5549,63270,5.5,198,2.54,2.3,2.4,0.78,79,1,9.3,9.0,7.1,206,6.0,16451,44,2.46,2.7,2.6,4.22,3306.447
Bengaluru,Indiranagar,5626,23602,7.3,97,2.01,2.3,2.99,0.34,107,1,8.7,9.5,5.5,105,7.8,16374,145,2.99,2.7,2.01,4.66,3306.279
Delhi NCR,Noida Sec 18,5602,42862,9.5,123,1.39,2.9,1.38,0.52,110,1,8.7,9.1,7.3,143,9.1,16398,107,3.6100000000000003,2.1,3.62,4.48,3306.2715000000003
Chennai,Perungudi,5635,44953,6.2,85,1.88,2.57,2.69,1.0,98,1,7.1,6.6,8.5,90,6.5,16365,160,3.12,2.43,2.31,4.0,3305.954
Mumbai,Andheri West,5601,44354,8.8,137,3.32,1.39,1.07,1.1,101,1,8.3,6.2,7.3,142,9.0,16399,108,1.6800000000000002,3.6100000000000003,3.9299999999999997,3.9,3305.6679999999997
Mumbai,Malad West,5633,30128,7.8,92,1.27,2.63,0.77,0.85,99,1,8.6,6.4,5.5,97,8.0,16367,153,3.73,2.37,4.23,4.15,3305.647
Delhi NCR,Faridabad,5559,18544,8.6,178,3.19,2.83,2.3,1.2,61,1,6.6,7.7,8.4,198,8.2,16441,52,1.81,2.17,2.7,3.8,3305.2970000000005
Pune,Baner,5565,44301,5.9,172,2.8,2.03,1.84,0.28,92,1,6.0,8.4,6.6,187,6.5,16435,63,2.2,2.97,3.16,4.72,3305.2825
Bengaluru,Hebbal,5614,43176,8.3,119,2.56,1.82,2.37,0.91,81,1,8.0,7.6,6.7,127,8.8,16386,123,2.44,3.1799999999999997,2.63,4.09,3305.2760000000003
Delhi NCR,Greater Noida,5646,41389,9.1,66,1.0,2.33,0.32,0.55,86,1,9.0,6.1,6.1,86,8.7,16354,164,4.0,2.67,4.68,4.45,3305.2450000000003
Chennai,OMR,5659,48679,7.8,67,1.98,2.72,1.41,1.11,115,1,9.4,6.1,9.4,72,8.1,16341,178,3.02,2.28,3.59,3.8899999999999997,3305.067
Hyderabad,Manikonda,5628,57044,7.2,105,1.8,2.79,1.52,0.31,101,1,6.7,8.4,9.4,115,7.3,16372,135,3.2,2.21,3.48,4.69,3304.6369999999997
Mumbai,Thane West,5569,22780,5.9,188,2.17,2.64,2.89,0.47,77,1,8.2,9.1,8.9,193,6.1000000000000005,16431,57,2.83,2.36,2.11,4.53,3304.5995000000003
Hyderabad,Jubilee Hills,5578,35303,8.2,170,3.15,2.59,1.37,0.33,117,1,6.8,9.4,6.6,180,8.299999999999999,16422,70,1.85,2.41,3.63,4.67,3304.5589999999997
Hyderabad,Jubilee Hills,5644,18934,8.9,81,2.96,2.04,0.58,1.17,108,1,7.1,6.1,7.8,91,9.0,16356,159,2.04,2.96,4.42,3.83,3304.5375000000004
Pune,Aundh,5618,57181,7.0,108,2.33,2.48,2.8,1.12,61,1,6.2,7.6,8.1,123,7.6,16382,127,2.67,2.52,2.2,3.88,3304.5155
Pune,Baner,5625,20868,5.5,106,1.18,2.79,1.31,1.13,93,1,9.4,9.3,7.4,121,6.1,16375,129,3.8200000000000003,2.21,3.69,3.87,3304.4385
Chennai,Velachery,5658,55997,6.6,73,1.77,1.11,2.01,0.45,119,1,6.8,8.8,8.5,78,6.8999999999999995,16342,172,3.23,3.8899999999999997,2.99,4.55,3304.1490000000003
