City,Area,Avg_Price_per_sqft,Avg_Rent,Safety_Score,Pollution_Index,Hospital_Distance_km,School_Distance_km,Metro_Distance_km,Grocery_Distance_km,Internet_Speed_Mbps,Power_Backup,Water_Availability_Score,Lifestyle_Score,Green_Space_Score
Mumbai,Andheri West,8369,64760,6.2,127,1.59,1.81,2.32,0.85,66,1,8.5,7.1,7.7
Bengaluru,Electronic City,18257,37830,6.5,217,3.43,1.98,2.71,0.83,93,1,7.2,8.3,8.2
Delhi NCR,Rohini Sec 15,16759,58764,7.5,63,1.06,2.61,0.78,1.14,88,1,7.0,9.1,8.5
Pune,Kharadi,8920,49216,7.7,154,3.41,3.13,1.1,0.59,82,1,6.9,7.7,7.0
Mumbai,Borivali West,6069,56210,7.8,83,1.52,2.68,1.27,0.45,101,1,9.1,8.6,8.3
Bengaluru,Marathahalli,12843,57974,6.7,85,3.03,3.17,2.77,0.71,116,1,8.2,6.7,5.8
Chennai,Adyar,12114,31403,7.8,91,2.45,1.09,1.56,0.74,81,1,8.1,6.1,5.6
Chennai,Anna Nagar,7991,45236,7.6,112,1.68,3.41,1.53,1.04,91,1,7.9,7.9,8.0
Hyderabad,HITEC City,6135,64185,6.8,204,2.0,2.08,2.31,0.45,85,1,9.4,8.9,8.3
Pune,Hinjewadi,6581,47305,6.1,93,1.6,1.23,0.79,1.13,60,1,9.3,8.6,7.7
Chennai,T Nagar,13630,37531,7.8,145,1.04,1.29,0.42,0.24,105,1,9.4,6.6,5.6
Mumbai,Navi Mumbai Vashi,18338,44211,6.2,160,2.0,2.54,2.01,0.25,90,1,6.1,9.3,7.5
Pune,Kothrud,16779,56646,9.3,187,2.59,3.0,2.13,0.77,92,1,7.6,7.9,9.3
Bengaluru,Whitefield,11036,64247,9.1,103,1.68,1.54,1.32,0.24,109,1,8.4,6.2,6.8
Mumbai,Kandivali West,15317,29261,8.8,164,2.24,2.73,1.24,1.14,115,1,8.6,8.8,6.6
Mumbai,Navi Mumbai Vashi,8004,53735,8.7,158,2.03,1.93,2.4,0.54,91,1,9.0,7.5,8.5
Delhi NCR,Gurgaon DLF Phase 3,10468,64352,7.6,143,3.07,1.8,2.72,0.59,71,1,9.4,9.0,6.9
Hyderabad,Miyapur,10446,23486,5.8,128,1.73,1.82,2.12,0.95,82,1,8.7,6.4,9.2
Mumbai,Malad West,12041,55497,7.3,134,1.29,1.36,2.36,0.82,97,1,6.3,8.5,5.8
Mumbai,Kandivali West,14909,35924,7.6,142,2.45,3.16,2.68,0.44,66,1,9.5,8.6,7.0
Bengaluru,Marathahalli,15906,43289,9.1,98,2.09,1.63,1.39,0.77,79,1,6.4,6.4,8.1
Delhi NCR,Gurgaon DLF Phase 3,15688,32683,9.3,172,1.21,2.32,1.48,1.0,104,1,9.4,6.2,9.1
Chennai,Porur,17990,29003,5.8,206,3.42,2.31,2.0,0.9,90,1,9.5,8.4,7.0
Delhi NCR,South Delhi,16475,29023,9.1,211,2.55,1.69,0.81,0.66,117,1,6.8,6.9,6.9
Hyderabad,Jubilee Hills,12602,58080,6.6,216,1.33,1.19,2.84,0.62,64,1,8.1,7.5,9.2
Mumbai,Navi Mumbai Vashi,6515,45712,7.4,70,2.49,1.95,2.92,1.04,72,1,6.2,6.1,6.0
Pune,Aundh,18305,30763,8.8,154,2.87,3.28,1.88,0.93,69,1,9.0,6.9,7.3
Chennai,OMR,17838,35100,6.3,172,2.89,1.12,1.03,0.22,117,1,7.8,8.7,7.6
Hyderabad,Gachibowli,6577,26427,7.7,116,2.47,2.2,1.44,0.98,73,1,8.5,6.7,6.0
Hyderabad,HITEC City,12449,60289,7.9,89,2.39,1.23,2.26,0.75,92,1,8.7,7.4,8.0
Bengaluru,Whitefield,7680,55660,6.1,204,2.23,1.65,1.54,1.18,112,1,7.2,6.7,7.8
Bengaluru,Electronic City,11754,35144,7.3,139,1.38,1.35,2.03,0.38,115,1,7.4,9.1,7.6
Mumbai,Kandivali West,16814,41954,8.8,151,1.87,1.08,1.78,0.73,71,1,6.7,7.3,7.5
Pune,Pimple Saudagar,12437,28488,7.4,115,3.18,3.3,0.46,0.48,60,1,6.3,8.1,9.4
Chennai,Perungudi,17815,26150,7.6,189,2.87,1.09,0.98,0.91,106,1,9.0,8.6,5.6
Mumbai,Kandivali West,12449,57650,7.1,178,1.94,1.05,1.17,0.41,85,1,7.9,6.8,6.9
Delhi NCR,Dwarka Sec 12,13061,26258,8.1,205,1.22,2.34,1.88,0.95,108,1,8.0,7.3,6.8
Hyderabad,Secunderabad,7261,28167,7.5,180,1.59,1.25,0.71,0.45,63,1,9.0,6.3,8.7
Delhi NCR,Greater Noida,13934,53358,7.1,95,3.49,3.24,1.86,1.12,74,1,8.9,6.9,6.2
Bengaluru,Hebbal,9789,18846,7.6,85,1.7,2.92,0.81,0.52,78,1,6.7,8.6,7.6
Delhi NCR,South Delhi,18441,63375,5.8,185,1.39,2.2,1.74,0.25,109,1,7.6,7.9,7.7
Mumbai,Goregaon East,17405,52387,6.5,160,1.01,1.29,1.58,0.81,94,1,7.2,9.3,8.8
Hyderabad,HITEC City,18121,19908,8.4,196,1.51,1.95,2.8,0.92,119,1,8.9,6.5,8.7
Chennai,Adyar,10320,33524,8.8,182,2.58,3.27,1.15,0.79,77,1,8.9,7.5,7.0
Bengaluru,Marathahalli,11484,39526,7.3,212,1.89,1.98,1.74,0.27,99,1,8.2,6.4,9.3
Bengaluru,BTM Layout,11067,33374,9.0,92,2.33,3.23,2.43,0.35,92,1,8.5,8.7,6.1
Hyderabad,Jubilee Hills,15549,50265,7.5,133,1.86,3.05,0.6,1.05,83,1,8.1,7.8,7.7
Pune,Kothrud,8391,21756,8.4,154,2.5,2.41,2.23,0.8,79,1,6.6,9.2,7.8
Mumbai,Kandivali West,15880,25783,7.5,170,2.82,2.48,0.58,1.12,64,1,9.2,8.5,6.1
Hyderabad,Secunderabad,11524,38530,8.4,99,3.1,3.28,0.63,0.44,85,1,8.9,6.4,9.2
Chennai,T Nagar,12014,20708,7.0,112,1.84,3.01,0.31,0.53,111,1,7.9,9.2,6.9
Mumbai,Andheri West,11990,54368,7.8,167,3.28,1.62,1.86,0.37,112,1,9.2,7.3,7.8
Chennai,Perungudi,15895,34241,8.2,140,3.4,1.37,1.42,0.29,99,1,7.8,8.1,5.8
Bengaluru,BTM Layout,14414,45965,6.3,88,2.56,1.94,2.56,0.79,60,1,8.7,7.6,7.6
Hyderabad,Gachibowli,15853,29485,7.7,122,1.26,1.84,0.5,0.95,69,1,6.9,8.3,7.1
Hyderabad,HITEC City,8962,33708,7.1,116,1.55,1.58,2.11,0.22,113,1,7.2,8.0,9.0
Hyderabad,Manikonda,13470,52911,9.5,91,3.14,3.08,1.37,0.87,80,1,7.4,7.1,5.8
Mumbai,Malad West,7698,38079,6.2,95,2.61,2.76,2.76,0.82,70,1,6.9,7.3,7.9
Hyderabad,Miyapur,6304,31221,8.6,196,2.09,1.74,2.86,0.96,83,1,6.4,8.0,9.4
Delhi NCR,Noida Sec 18,8686,45856,6.6,99,2.75,2.01,0.89,0.85,105,1,9.4,7.8,6.2
Pune,Hadapsar,15867,44665,7.8,93,2.39,2.63,2.54,0.41,101,1,6.5,6.9,6.6
Bengaluru,BTM Layout,14301,48987,8.0,112,1.44,3.29,1.43,0.58,117,1,7.5,7.2,9.3
Delhi NCR,Gurgaon DLF Phase 3,10288,29555,8.6,88,1.97,1.72,1.26,0.92,98,1,8.1,9.3,7.1
Chennai,Anna Nagar,11712,41863,6.4,95,2.35,1.41,2.57,1.05,118,1,8.1,7.2,8.6
Pune,Pimple Saudagar,7843,55904,7.2,120,2.72,2.09,0.97,1.02,96,1,6.0,9.4,5.5
Hyderabad,Kondapur,15328,22090,9.3,76,3.38,2.12,0.8,0.74,83,1,8.7,8.2,8.5
Pune,Hadapsar,12619,23319,6.5,148,2.62,2.73,0.44,0.87,91,1,8.5,9.2,6.2
Pune,Hadapsar,18037,34774,5.6,176,2.83,1.48,0.61,0.62,88,1,7.7,9.0,8.9
Mumbai,Kandivali West,6114,39776,8.1,211,1.58,1.3,0.51,0.9,99,1,7.5,7.4,7.8
Delhi NCR,Dwarka Sec 12,10968,33317,6.8,75,2.07,3.19,1.43,0.66,93,1,6.1,9.1,7.6
Bengaluru,HSR Layout,14505,34371,5.7,121,2.2,2.57,2.66,1.18,69,1,6.3,7.2,7.6
Delhi NCR,Noida Sec 62,7550,62460,6.9,217,3.13,2.79,1.89,0.48,112,1,9.5,7.5,7.0
Hyderabad,Secunderabad,7328,63028,5.9,98,3.2,3.36,1.56,0.81,84,1,8.6,6.2,7.1
Pune,Hadapsar,14576,54332,6.0,166,1.44,1.55,0.8,0.98,65,1,8.8,8.2,6.4
Delhi NCR,Gurgaon DLF Phase 3,18831,36297,7.6,182,1.99,2.9,2.18,0.35,91,1,7.6,8.2,8.5
Delhi NCR,Ghaziabad,10175,52701,8.9,70,3.19,1.66,0.65,1.09,84,1,9.0,6.1,6.8
Delhi NCR,Rohini Sec 15,15110,33585,7.1,97,1.65,2.81,1.64,0.28,119,1,6.4,9.1,9.5
Mumbai,Goregaon East,15016,20396,9.1,126,1.87,2.7,1.83,0.47,65,1,7.8,9.0,6.5
Bengaluru,Hebbal,12424,51130,6.5,159,2.55,2.88,0.73,1.08,117,1,7.6,9.1,5.5
Bengaluru,JP Nagar,9241,60534,6.1,159,2.39,2.89,1.0,0.39,72,1,8.2,9.4,8.0
Mumbai,Goregaon East,18462,19007,5.9,217,1.05,2.08,2.57,0.59,74,1,9.3,6.4,9.2
Hyderabad,HITEC City,12991,32859,5.8,197,2.18,1.14,0.5,1.05,73,1,9.4,9.4,8.5
Bengaluru,Yelahanka,7928,45083,5.6,198,3.05,1.93,2.51,0.45,82,1,7.6,7.0,9.5
Delhi NCR,Gurgaon DLF Phase 3,12040,50232,6.2,178,3.06,1.75,2.57,0.97,79,1,8.3,7.0,9.3
Hyderabad,Manikonda,6488,57214,7.2,143,1.99,1.69,2.96,0.61,119,1,8.5,8.6,6.3
Delhi NCR,Ghaziabad,6291,44385,9.0,86,3.42,1.46,2.65,0.98,74,1,7.6,7.9,5.6
Pune,Viman Nagar,11155,62859,9.4,207,2.99,2.2,0.62,0.33,103,1,6.9,8.0,6.4
Hyderabad,Jubilee Hills,10609,53201,8.7,198,3.46,1.37,1.55,0.88,77,1,7.7,8.1,6.7
Pune,Pimple Saudagar,7543,38581,9.1,70,2.2,1.26,0.95,1.19,91,1,6.1,7.7,6.3
Delhi NCR,South Delhi,14627,40431,9.3,156,2.29,1.22,1.25,0.23,111,1,7.3,7.1,9.4
Mumbai,Kandivali West,17930,21041,5.7,108,3.38,1.31,2.72,0.79,68,1,6.2,7.9,8.3
Mumbai,Thane West,19129,42826,7.4,143,2.38,2.49,2.42,0.68,100,1,6.6,7.5,8.4
Hyderabad,Kukatpally,17287,19560,9.0,181,1.82,2.18,2.31,1.07,112,1,8.3,7.7,7.7
Mumbai,Powai,6161,55412,9.5,164,2.23,1.2,1.39,0.42,113,1,6.1,6.9,7.4
Chennai,Porur,5658,18956,8.9,96,1.86,1.93,2.97,0.24,108,1,7.8,8.1,5.6
Mumbai,Thane West,16317,44958,9.1,65,2.64,3.48,1.07,0.56,62,1,8.2,8.2,8.4
Bengaluru,Rajajinagar,9091,44723,9.1,146,2.58,1.93,1.68,0.61,97,1,7.7,6.9,9.0
Chennai,Guindy,7778,53923,7.9,129,2.63,1.78,1.38,1.06,64,1,7.1,8.7,6.0
Pune,Aundh,8874,57198,6.4,177,1.42,2.3,1.21,1.03,60,1,7.6,8.1,9.3
Delhi NCR,Saket,11599,60267,5.6,108,3.11,3.01,1.88,1.07,103,1,7.9,6.1,9.4
Delhi NCR,Rohini Sec 15,14735,18281,5.7,178,1.56,1.45,0.54,0.3,110,1,6.1,6.5,9.4
Bengaluru,Indiranagar,18004,41857,9.4,98,2.14,2.29,1.62,0.87,79,1,6.4,6.5,6.1
Mumbai,Kandivali West,6391,22470,6.1,144,1.23,2.68,1.5,1.07,81,1,6.9,8.3,9.4
Bengaluru,Rajajinagar,17177,46625,8.0,195,3.16,2.92,0.61,1.0,63,1,8.4,6.8,8.1
Pune,Viman Nagar,16100,62633,6.9,122,3.44,2.02,2.65,0.98,72,1,7.0,6.4,8.1
Chennai,Tambaram,15329,22114,8.7,141,3.19,1.79,2.65,0.58,113,1,8.3,7.1,8.0
Mumbai,Malad West,7690,27108,7.0,152,2.12,1.59,1.31,0.43,85,1,8.1,6.6,8.1
Mumbai,Bandra East,14718,40612,9.0,107,3.12,3.29,2.5,0.31,64,1,7.4,8.0,7.6
Bengaluru,HSR Layout,10945,34173,8.4,182,2.3,3.06,1.46,1.1,112,1,9.1,6.9,9.2
Hyderabad,Banjara Hills,5640,55650,5.9,184,2.54,2.31,2.11,1.13,87,1,7.9,7.1,7.9
Mumbai,Andheri West,17708,61596,7.2,148,2.31,1.31,2.62,1.0,90,1,8.5,6.4,7.8
Mumbai,Goregaon East,13727,60435,5.8,113,2.38,1.11,2.01,1.15,114,1,8.2,7.8,7.9
Mumbai,Bandra East,19594,34393,6.2,180,3.1,3.25,1.25,0.44,96,1,7.1,8.6,8.9
Mumbai,Bandra East,5645,55778,8.0,128,1.42,2.84,2.63,0.42,76,1,6.6,7.1,6.4
Bengaluru,Rajajinagar,14660,45213,8.0,212,3.47,1.34,2.18,0.6,113,1,7.6,8.5,5.6
Hyderabad,Kondapur,11199,35625,6.8,91,1.69,1.2,0.53,1.09,62,1,7.4,7.3,6.9
Hyderabad,Gachibowli,9213,23051,8.7,86,2.6,1.68,1.9,0.88,103,1,7.1,7.2,8.2
Hyderabad,HITEC City,16353,27686,7.4,67,2.45,1.22,2.9,0.83,106,1,6.7,7.9,5.9
Delhi NCR,Greater Noida,16651,21083,6.9,199,3.45,2.19,1.33,0.32,110,1,6.5,9.5,9.2
Hyderabad,Gachibowli,5785,50916,5.9,209,1.22,2.89,0.64,1.03,97,1,6.6,6.2,6.0
Mumbai,Andheri West,7908,53585,9.2,134,3.06,1.7,2.84,1.07,65,1,9.2,7.7,9.5
Pune,Kothrud,18277,54875,9.2,101,2.35,2.57,2.12,0.73,73,1,8.8,8.8,6.7
Delhi NCR,Rohini Sec 15,13342,24721,6.1,79,2.43,3.33,1.85,0.68,92,1,9.2,7.7,7.9
Chennai,Tambaram,16638,53298,7.1,84,2.67,1.3,1.59,0.71,74,1,9.4,7.9,9.4
Hyderabad,Miyapur,11277,53262,8.1,152,1.04,2.51,1.28,0.59,64,1,8.7,7.6,5.7
Bengaluru,Indiranagar,19064,44526,8.3,142,1.43,1.19,2.41,0.47,66,1,8.4,6.2,7.5
Delhi NCR,Rohini Sec 15,6882,52171,6.7,111,2.64,3.12,2.26,0.99,94,1,7.3,7.4,8.8
Pune,Hadapsar,9216,22481,6.0,208,1.05,1.65,2.35,0.34,98,1,8.2,7.1,8.8
Pune,Viman Nagar,7885,18671,7.5,198,2.14,3.11,0.56,0.69,63,1,9.0,6.9,8.1
Bengaluru,Hebbal,17496,44035,8.9,101,2.96,3.23,2.88,0.99,68,1,9.3,8.8,5.8
Delhi NCR,South Delhi,13933,38281,6.5,80,3.06,2.24,1.34,0.65,108,1,8.1,6.2,7.6
Bengaluru,JP Nagar,19227,57851,7.5,160,1.12,1.1,2.31,0.86,110,1,6.2,6.0,9.3
Pune,Kharadi,17589,28142,6.7,198,3.43,3.36,2.42,0.55,117,1,6.3,8.3,8.6
Mumbai,Borivali West,17386,31279,7.6,140,1.74,2.92,1.99,0.58,109,1,6.0,6.9,6.5
Delhi NCR,Ghaziabad,18004,38669,9.1,69,3.0,1.73,2.95,0.8,112,1,9.2,7.8,8.0
Mumbai,Kandivali West,18570,41953,6.4,212,1.94,2.38,1.35,0.36,111,1,6.8,6.4,6.3
Chennai,OMR,12531,30258,8.2,178,3.2,1.65,1.77,0.84,80,1,9.4,8.6,7.7
Hyderabad,Jubilee Hills,14353,38714,6.6,151,1.11,1.41,0.66,0.93,86,1,9.4,7.7,6.1
Hyderabad,Jubilee Hills,9254,45044,7.9,62,1.74,2.41,2.16,1.07,106,1,9.1,7.5,6.1
Mumbai,Goregaon East,11772,43860,9.0,191,1.25,2.0,2.46,0.4,69,1,8.6,8.9,8.0
Mumbai,Bandra East,7659,55900,7.7,145,3.12,3.1,2.55,0.21,116,1,9.4,7.3,6.8
Bengaluru,HSR Layout,10689,30087,7.5,191,1.96,2.61,2.41,0.42,85,1,7.4,7.4,8.3
Pune,Nigdi,15777,56659,6.2,79,2.01,3.19,1.68,0.92,96,1,8.0,8.0,7.7
Chennai,Guindy,5661,34029,8.7,218,1.06,1.81,2.02,0.35,83,1,7.2,8.7,8.3
Hyderabad,Kondapur,14123,34044,6.1,172,2.09,1.22,0.9,0.8,118,1,8.7,8.6,6.7
Delhi NCR,Noida Sec 62,17985,52051,7.5,106,1.3,2.02,2.57,0.58,68,1,9.3,6.7,7.8
Mumbai,Andheri West,19582,64698,5.6,177,1.68,2.3,1.11,1.14,101,1,9.0,6.8,7.0
Pune,Kothrud,7596,43279,7.4,129,2.58,1.12,2.74,1.11,83,1,8.6,8.7,6.1
Hyderabad,Begumpet,13210,19619,8.1,95,1.03,1.71,0.42,0.24,66,1,6.9,9.2,6.5
Chennai,Perungudi,13396,50972,6.6,132,2.22,1.08,0.47,1.11,116,1,7.2,7.1,8.6
Chennai,Velachery,6171,25927,7.7,202,3.21,1.98,2.54,0.99,73,1,8.6,9.4,6.5
Bengaluru,HSR Layout,7253,49703,6.9,174,3.43,2.52,1.24,0.31,109,1,8.5,7.5,5.9
Chennai,T Nagar,7836,27879,6.0,157,2.01,2.36,2.44,0.75,93,1,6.3,7.6,7.4
Pune,Viman Nagar,7037,32357,8.9,125,1.24,3.15,1.54,0.95,71,1,6.2,7.8,8.7
Mumbai,Powai,7227,52622,7.5,91,1.65,1.41,1.19,0.96,81,1,6.1,6.4,8.1
Hyderabad,Begumpet,12323,36489,8.5,172,1.07,1.16,1.55,1.11,92,1,7.4,8.8,7.0
Delhi NCR,Noida Sec 18,11046,50658,7.3,70,1.51,2.31,1.08,0.99,95,1,7.0,7.1,8.1
Chennai,Guindy,19021,24971,8.3,71,1.42,2.53,1.28,1.1,102,1,9.4,6.5,6.3
Pune,Viman Nagar,7807,57901,8.0,78,3.21,3.01,1.66,1.17,104,1,9.4,8.3,8.0
Hyderabad,Jubilee Hills,7029,44170,6.1,86,2.72,1.23,0.38,1.02,85,1,6.3,8.6,6.2
Pune,Pimple Saudagar,15087,62517,7.7,119,1.79,2.18,2.52,0.66,80,1,6.9,8.9,9.0
Chennai,Perungudi,9579,54116,6.0,93,1.87,2.13,2.32,0.85,107,1,8.0,8.6,8.7
Chennai,Adyar,18076,45516,8.2,125,1.79,1.01,2.14,0.37,79,1,6.8,8.9,6.6
Bengaluru,Yelahanka,5941,40424,6.4,202,1.53,1.08,1.12,0.85,73,1,9.2,6.8,8.7
Hyderabad,HITEC City,6638,39125,8.2,210,1.42,1.97,1.32,0.43,112,1,7.9,7.3,9.4
Chennai,Tambaram,15596,26472,7.2,73,3.3,1.7,2.62,0.49,110,1,8.9,8.4,8.9
Pune,Aundh,17481,25230,7.7,183,3.07,1.7,2.66,0.31,97,1,6.4,6.2,6.6
Delhi NCR,Noida Sec 62,17139,64733,7.9,137,2.86,1.12,2.74,1.05,100,1,7.2,7.2,9.5
Pune,Hinjewadi,7979,27885,7.2,70,3.49,3.14,1.71,0.26,79,1,6.8,7.7,8.5
Delhi NCR,Ghaziabad,19135,43634,8.8,124,1.06,2.74,0.52,1.11,105,1,8.7,8.1,9.1
Pune,Hadapsar,13486,60533,7.9,216,2.6,2.69,0.66,0.43,71,1,7.7,8.3,9.3
Mumbai,Malad West,19172,60752,6.6,65,3.23,1.01,0.41,0.8,86,1,6.5,7.0,9.4
Pune,Hinjewadi,18654,48119,7.4,143,1.52,2.29,0.31,0.21,67,1,6.1,6.4,6.9
Pune,Viman Nagar,7468,35087,7.6,166,1.11,1.69,2.51,0.48,76,1,6.4,7.2,7.5
Delhi NCR,Greater Noida,9992,40207,8.3,206,2.13,3.32,0.75,0.59,78,1,7.4,9.2,8.4
Hyderabad,Gachibowli,17064,51755,8.8,67,3.16,1.01,2.24,1.03,108,1,8.1,8.4,6.0
Chennai,OMR,16378,42995,7.0,206,2.49,2.37,2.73,0.6,110,1,7.2,9.3,8.2
Delhi NCR,South Delhi,7997,52610,7.9,69,2.26,1.35,0.61,0.35,62,1,8.5,6.4,9.1
Chennai,Adyar,11531,45997,6.1,140,2.74,2.33,1.51,0.28,74,1,6.2,6.4,7.7
Delhi NCR,Greater Noida,6931,56392,5.8,80,2.73,2.07,2.12,0.48,112,1,9.0,8.1,6.4
Bengaluru,Electronic City,18967,57758,8.5,82,1.8,2.46,1.3,0.8,95,1,7.4,7.8,7.5
Hyderabad,Banjara Hills,5506,21267,5.7,124,1.86,1.39,0.37,0.85,87,1,6.0,7.4,8.7
Bengaluru,Whitefield,16620,26767,7.9,175,2.45,2.4,0.58,0.37,109,1,7.7,6.1,7.5
Bengaluru,Yelahanka,13333,60138,6.3,166,1.97,1.4,0.36,0.96,74,1,7.7,6.5,8.8
Pune,Nigdi,13815,26036,7.4,193,2.51,3.07,2.96,0.49,106,1,6.5,6.1,9.4
Chennai,Tambaram,16832,21236,7.4,200,2.35,2.9,2.55,0.64,101,1,8.9,8.5,6.2
Pune,Viman Nagar,13991,18138,7.7,188,2.45,1.35,1.5,0.83,70,1,6.7,8.7,8.4
Mumbai,Goregaon East,14929,64840,8.7,78,1.5,1.99,0.41,0.68,95,1,9.2,6.5,7.9
Mumbai,Borivali West,7208,21630,9.0,208,2.86,2.37,0.46,0.88,100,1,9.1,9.3,6.1
Bengaluru,Rajajinagar,16359,56635,8.5,129,2.47,1.94,1.07,0.4,83,1,7.5,8.1,9.2
Bengaluru,Indiranagar,9036,48386,9.1,141,2.11,2.51,1.9,1.01,94,1,6.7,6.4,8.9
Delhi NCR,Noida Sec 62,18668,33072,9.1,206,1.78,1.64,0.38,1.17,90,1,8.6,8.7,9.2
Chennai,Adyar,9137,37337,6.0,185,2.61,3.05,1.2,0.93,89,1,9.4,6.0,9.5
Mumbai,Andheri East,17251,29590,5.5,126,2.84,3.09,2.3,0.34,99,1,9.3,8.9,8.7
Delhi NCR,Dwarka Sec 12,18334,28433,5.9,82,2.22,1.19,1.4,0.61,97,1,7.1,7.9,8.0
Pune,Baner,7592,46220,5.9,161,1.75,1.19,1.65,0.99,75,1,7.7,6.5,8.3
Hyderabad,HITEC City,16034,20951,6.7,179,2.01,3.27,1.17,0.68,60,1,7.9,6.8,5.6
Bengaluru,JP Nagar,17550,41864,8.5,90,3.22,2.26,1.51,0.79,67,1,7.9,8.2,7.6
Mumbai,Thane West,13744,32743,6.7,89,2.3,1.36,2.39,0.47,114,1,6.6,9.1,8.8
Bengaluru,Hebbal,19527,42142,5.9,152,1.12,1.69,2.21,0.26,109,1,7.6,7.2,9.3
Pune,Pimple Saudagar,8124,23738,6.6,214,3.17,2.43,2.75,1.14,78,1,9.2,7.3,9.4
Pune,Hinjewadi,14162,57129,7.8,119,2.58,2.76,0.31,0.37,80,1,9.1,6.6,6.6
Bengaluru,Whitefield,17215,63486,9.3,80,2.19,2.59,3.0,0.3,113,1,9.3,7.8,7.2
Mumbai,Powai,10855,27083,8.9,72,2.04,3.06,2.6,0.41,68,1,9.0,8.6,8.1
Hyderabad,Kukatpally,14888,36156,6.7,67,2.63,2.85,1.15,0.84,80,1,8.4,7.6,7.8
Pune,Wakad,7048,25480,8.8,113,2.29,1.67,2.56,0.21,96,1,9.2,8.9,8.3
Chennai,Perungudi,6174,42472,8.4,161,2.33,2.49,0.33,0.66,95,1,6.1,7.4,8.5
Hyderabad,Gachibowli,15843,29867,9.4,86,2.44,1.19,1.33,0.57,96,1,6.9,6.1,6.7
Delhi NCR,Greater Noida,9525,38093,7.8,102,2.66,2.37,2.67,0.88,91,1,9.1,8.7,8.6
Pune,Hadapsar,18870,63671,5.8,216,1.62,2.21,2.32,0.67,85,1,8.0,9.5,6.5
Hyderabad,HITEC City,17094,34616,6.3,149,1.49,1.35,1.98,0.98,104,1,7.0,9.4,7.6
Hyderabad,Gachibowli,6572,50430,9.2,116,3.23,2.77,0.47,0.35,64,1,7.7,6.8,5.7
Delhi NCR,Noida Sec 18,16161,62769,6.5,120,3.37,3.41,1.98,1.13,77,1,7.9,6.6,7.3
Bengaluru,Marathahalli,6616,61527,6.3,167,3.11,3.45,2.44,1.05,87,1,8.3,6.4,8.0
Hyderabad,Manikonda,19643,25866,9.4,135,1.65,2.09,1.9,0.27,113,1,6.0,6.0,8.8
Pune,Baner,6796,47290,7.1,139,3.44,2.89,0.74,0.68,91,1,7.1,6.8,7.3
Delhi NCR,Dwarka Sec 12,17363,40357,8.9,103,1.03,1.02,1.26,1.13,101,1,8.8,6.2,8.7
Mumbai,Malad West,16195,27135,5.9,160,1.61,2.01,2.72,0.2,95,1,7.0,7.4,9.2
Bengaluru,Whitefield,9243,59560,8.5,126,1.98,2.89,2.78,1.15,86,1,7.0,8.2,9.5
Pune,Kothrud,6192,19105,8.1,173,3.26,3.19,2.93,0.23,118,1,6.8,6.1,5.6
Delhi NCR,Saket,16093,52540,6.4,127,2.45,2.09,1.87,0.72,85,1,8.9,6.5,7.2
Mumbai,Goregaon East,13312,22557,8.6,165,3.22,2.36,0.85,0.46,107,1,7.2,9.0,6.3
